result:
   system | domain_size | gt_backend | transport | variant | taskspernode | domainthreads | ompthreads | nodes |   colspersec |    time
daint_gpu |        1024 |       cuda |      ghex |     ucx |            1 |             1 |          1 |    64 | 122458.28125 | 8.56272
daint_gpu |        1024 |       cuda |      ghex |     ucx |            1 |            12 |          1 |     1 |     135931.0 | 7.71406
daint_gpu |        1024 |       cuda |      ghex |     ucx |            1 |            12 |          1 |     4 |     133830.0 | 7.83513
daint_gpu |        1024 |       cuda |      ghex |     ucx |            1 |            12 |          1 |    16 |    133053.75 | 7.88085
daint_gpu |        1024 |       cuda |      ghex |     ucx |            1 |            12 |          1 |    64 |    131643.75 | 7.96525
daint_gpu |        1024 |       cuda |      ghex |     ucx |           12 |             1 |          1 |     1 |     157965.0 | 6.63803
daint_gpu |        1024 |       cuda |      ghex |     ucx |           12 |             1 |          1 |     4 |     158205.0 | 6.62796
daint_gpu |        1024 |       cuda |      ghex |     ucx |           12 |             1 |          1 |    16 |     151657.5 |  6.9141
daint_gpu |        1024 |       cuda |      ghex |     ucx |           12 |             1 |          1 |    64 |  60499.84375 | 17.3319
daint_gpu |        2048 |       cuda |       gcl |     mpi |            1 |             1 |          1 |     1 |     152409.0 | 27.5201
daint_gpu |        2048 |       cuda |       gcl |     mpi |            1 |             1 |          1 |     4 |    135507.25 | 30.9526
daint_gpu |        2048 |       cuda |       gcl |     mpi |            1 |             1 |          1 |    16 |   128209.375 | 32.7145
daint_gpu |        2048 |       cuda |       gcl |     mpi |            1 |             1 |          1 |    64 |  121469.6875 | 34.5296
daint_gpu |        2048 |       cuda |       gcl |     mpi |           12 |             1 |          1 |     1 |     153881.0 | 27.2568
daint_gpu |        2048 |       cuda |       gcl |     mpi |           12 |             1 |          1 |     4 |     151590.5 | 27.6687
daint_gpu |        2048 |       cuda |       gcl |     mpi |           12 |             1 |          1 |    16 |   147133.125 | 28.5069
daint_gpu |        2048 |       cuda |       gcl |     mpi |           12 |             1 |          1 |    64 | 140703.90625 | 29.8094
daint_gpu |        2048 |       cuda |      ghex |     mpi |            1 |             1 |          1 |     1 |     152544.0 | 27.4956
daint_gpu |        2048 |       cuda |      ghex |     mpi |            1 |             1 |          1 |     4 |    135362.75 | 30.9857
daint_gpu |        2048 |       cuda |      ghex |     mpi |            1 |             1 |          1 |    16 |     128440.0 | 32.6557
daint_gpu |        2048 |       cuda |      ghex |     mpi |            1 |             1 |          1 |    64 | 121636.09375 | 34.4824
daint_gpu |        2048 |       cuda |      ghex |     mpi |            1 |            12 |          1 |     1 |     148340.0 | 28.2749
daint_gpu |        2048 |       cuda |      ghex |     mpi |            1 |            12 |          1 |     4 |     145217.0 |  28.883
daint_gpu |        2048 |       cuda |      ghex |     mpi |            1 |            12 |          1 |    16 |     143842.5 | 29.1591
daint_gpu |        2048 |       cuda |      ghex |     mpi |            1 |            12 |          1 |    64 |  143060.3125 | 29.3184
daint_gpu |        2048 |       cuda |      ghex |     mpi |           12 |             1 |          1 |     1 |     156576.0 | 26.7876
daint_gpu |        2048 |       cuda |      ghex |     mpi |           12 |             1 |          1 |     4 |    155822.25 | 26.9172
daint_gpu |        2048 |       cuda |      ghex |     mpi |           12 |             1 |          1 |    16 |    155031.25 | 27.0546
daint_gpu |        2048 |       cuda |      ghex |     mpi |           12 |             1 |          1 |    64 |   153448.125 | 27.3337
daint_gpu |        2048 |       cuda |      ghex |     ucx |            1 |             1 |          1 |     1 |     149181.0 | 28.1154
daint_gpu |        2048 |       cuda |      ghex |     ucx |            1 |             1 |          1 |     4 |    134271.25 | 31.2376
daint_gpu |        2048 |       cuda |      ghex |     ucx |            1 |             1 |          1 |    16 |     127512.5 | 32.8932
daint_gpu |        2048 |       cuda |      ghex |     ucx |            1 |             1 |          1 |    64 |   121338.125 | 34.5671
daint_gpu |        2048 |       cuda |      ghex |     ucx |            1 |            12 |          1 |     1 |     149656.0 | 28.0263
daint_gpu |        2048 |       cuda |      ghex |     ucx |            1 |            12 |          1 |     4 |    147877.75 | 28.3633
daint_gpu |        2048 |       cuda |      ghex |     ucx |            1 |            12 |          1 |    16 |    146146.25 | 28.6993
daint_gpu |        2048 |       cuda |      ghex |     ucx |            1 |            12 |          1 |    64 |     145312.5 |  28.864
daint_gpu |        2048 |       cuda |      ghex |     ucx |           12 |             1 |          1 |     1 |     156763.0 | 26.7556
daint_gpu |        2048 |       cuda |      ghex |     ucx |           12 |             1 |          1 |     4 |    156250.75 | 26.8434
daint_gpu |        2048 |       cuda |      ghex |     ucx |           12 |             1 |          1 |    16 |   155123.125 | 27.0385
daint_gpu |        2048 |       cuda |      ghex |     ucx |           12 |             1 |          1 |    64 | 127844.21875 | 32.8079
