# Running on nid01410
# DAINT config selected
# There are 2 sockets, 2 NUMA domains, 36 cores, 72 pus
# NB. to kill spawned tasks try 
# for a in {1..100}; do psu -lf | grep future_overhead_test | awk '{print $4}' | xargs kill -9 ; done

# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --test-all --futures=500000 --delay-iterations=0 --hpx:queuing=shared-priority --hpx:numa-sensitive --hpx:threads=1 --hpx:bind=balanced --csv --info=none

500000,                    for_loop,             par,  parallel_executor, 0.878343, 1.756685,                local,    1,    1,                 none
500000,                    for_loop,             par, parallel_executor_aggregated, 0.791205, 1.582410,                local,    1,    1,                 none
500000,                    for_loop,             par, thread_pool_executor, 0.751468, 1.502935,                local,    1,    1,                 none
500000,                    for_loop,             par, thread_pool_executor_nostack, 0.556291, 1.112582,                local,    1,    1,                 none
500000,               register_work,           latch,               none, 0.565575, 1.131149,                local,    1,    1,                 none
500000,               create_thread,           latch,               none, 0.562616, 1.125232,                local,    1,    1,                 none
500000,          apply_hierarchical,           latch,  parallel_executor, 0.564400, 1.128801,                local,    1,    1,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --test-all --futures=500000 --delay-iterations=0 --hpx:queuing=local   --hpx:threads=1 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.471076, 0.942153,                local,    0,    1,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.478918, 0.957837,                local,    0,    1,                 none
500000,                       apply,   limiting-Exec, thread_pool_executor, 0.466977, 0.933954,                local,    0,    1,                 none
500000,                      action,        WaitEach,        no-executor, 0.700591, 1.401183,                local,    0,    1,                 none
500000,                      action,         WaitAll,        no-executor, 0.617281, 1.234563,                local,    0,    1,                 none
500000,                       async,        WaitEach,  parallel_executor, 0.614915, 1.229831,                local,    0,    1,                 none
500000,                       async,        WaitEach, thread_pool_executor, 0.611268, 1.222536,                local,    0,    1,                 none
500000,                       async,         WaitAll,  parallel_executor, 0.571520, 1.143040,                local,    0,    1,                 none
500000,                       async,         WaitAll, thread_pool_executor, 0.566829, 1.133658,                local,    0,    1,                 none
500000,                       apply,     ThreadCount,  parallel_executor, 0.472665, 0.945330,                local,    0,    1,                 none
500000,                       apply,     ThreadCount, thread_pool_executor, 0.463666, 0.927331,                local,    0,    1,                 none
500000,                       apply,     Sliding-Sem,  parallel_executor, 0.545261, 1.090523,                local,    0,    1,                 none
